Site_ID,Site,Cluster_3,WLC_RISK,GiZScore,GiPValue,NNeighbors,Gi_Bin
SITE_0217,Momina Mogila,1,5.804505037500000,2.475471442220000,0.013306040265700,9,2
SITE_0218,Buzovo Kale,2,4.166444837650000,-1.682726934330000,0.092427965132400,9,-1
SITE_0219,Thracian domed tomb,1,3.823984101910000,-1.682726934330000,0.092427965132400,9,-1
SITE_0220,Pizus Fortress,1,4.702459480020000,4.045465262760000,0.000052219308872,9,3
SITE_0221,Tomb of Kazanlak,2,3.731844726380000,-1.682726934330000,0.092427965132400,9,-1
SITE_0222,Kran Fortress,3,4.638659065680000,-1.763073209490000,0.077888143015800,9,-1
SITE_0223,Kesteleva Mogila,1,3.101281426150000,-1.682726934330000,0.092427965132400,9,-1
SITE_0224,Malak Dol mound,1,5.380527003570000,1.479927999610000,0.138892462475000,9,0
SITE_0225,Karasura,1,4.526271511510000,3.074054987910000,0.002111705062780,9,3
SITE_0226,Tomb of Sashnova,1,2.958077232310000,-2.450088190680000,0.014282122908400,9,-2
SITE_0227,Golyama Arsenalka tomb,1,2.605701295300000,-2.450088190680000,0.014282122908400,9,-2
SITE_0228,Mezideva Fortress,2,4.090775658640000,-1.763073209490000,0.077888143015800,9,-1
SITE_0229,Ostrusha tomb,3,3.182193800470000,-1.763073209490000,0.077888143015800,9,-1
SITE_0230,Sarafova Mogila,1,2.853491360720000,-1.763073209490000,0.077888143015800,9,-1
SITE_0231,Tomb of Helvetia,1,3.032546478160000,-2.189780761850000,0.028540140609100,9,-2
SITE_0232,Tomb of Malka Kosmatka,1,3.205867297740000,-2.189780761850000,0.028540140609100,9,-2
SITE_0233,Tomb of Seuthes III,1,3.205867297740000,-2.450088190680000,0.014282122908400,9,-2
SITE_0234,Tomb of Shushmanets,3,5.029656261300000,-1.722583140810000,0.084963935930400,9,-1
SITE_0235,Tomb of Svetitzata,1,2.958077232310000,-1.763073209490000,0.077888143015800,9,-1
SITE_0236,Tomb of The Griffins,1,3.029679329230000,-2.450088190680000,0.014282122908400,9,-2
SITE_0237,Augusta Traiana Vereia,1,2.933462138980000,-1.268792350960000,0.204515159185000,9,0
SITE_0238,Neolithic dwellings,1,4.592599616430000,-1.472030613060000,0.141012610994000,9,0
SITE_0239,Bereket Mound,1,3.532743006120000,-1.187454228230000,0.235048522036000,9,0
SITE_0240,Roman mineral baths,1,1.916215015130000,-1.733723505540000,0.082967153820700,9,-1
SITE_0241,Fortress Zemlen,1,5.290171398600000,-0.262539743559000,0.792905348949000,9,0
SITE_0242,Cheir maj Kaleto,1,6.248210055930000,4.315591493830000,0.000015917610486,9,3
SITE_0243,Hisara Fortress,1,6.766541425750000,4.045465262760000,0.000052219308872,9,3
SITE_0244,Monastery of St. Athanasius the Great,1,6.934111395500000,4.045465262760000,0.000052219308872,9,3
SITE_0245,Kaleto Fortress Bolyarovo,1,3.598637739770000,0.451314299253000,0.651763041787000,9,0
SITE_0246,Ancient Kabile,1,3.721174413090000,-0.699793276384000,0.484056419239000,9,0
SITE_0247,Roman residence,1,3.703223611350000,0.241315646779000,0.809310485015000,9,0
SITE_0248,Malkoto Kale Fortress,1,3.846427805190000,0.501322414236000,0.616144234977000,9,0
SITE_0249,Dabilin Fortress,1,3.779510871240000,-0.606147367435000,0.544416902626000,9,0
SITE_0250,Zaychi Vrah,3,5.362049484000000,-0.699793276384000,0.484056419239000,9,0
